matrix, nz, type, preTimeBound, avgTimeBound, avgTimeGuided, nThreads
cage4, 49, CSR, 0.000796, 0.021749, 0.019252, 40
cage4, 49, HLL, 0.000192, 0.010844, 0.017272, 40
mhda416, 8562, CSR, 0.002898, 0.013408, 0.055704, 40
mhda416, 8562, HLL, 0.000170, 0.013797, 0.019288, 40
mcfe, 24382, CSR, 0.003513, 0.013844, 0.065021, 40
mcfe, 24382, HLL, 0.000200, 0.016408, 0.024533, 40
olm1000, 3996, CSR, 0.002895, 0.013924, 0.075765, 40
olm1000, 3996, HLL, 0.000224, 0.014331, 0.027493, 40
adder_dcop_32, 11246, CSR, 0.003570, 0.014450, 0.080757, 40
adder_dcop_32, 11246, HLL, 0.000221, 0.057157, 0.075951, 40
west2021, 7353, CSR, 0.003896, 0.011639, 0.078240, 40
west2021, 7353, HLL, 0.000153, 0.011782, 0.032319, 40
cavity10, 76367, CSR, 0.003350, 0.016689, 0.092759, 40
cavity10, 76367, HLL, 0.000191, 0.020308, 0.036641, 40
rdist2, 56934, CSR, 0.003415, 0.017027, 0.093948, 40
rdist2, 56934, HLL, 0.000239, 0.024046, 0.037685, 40
cant, 4007383, CSR, 0.011893, 0.426933, 1.320396, 40
cant, 4007383, HLL, 0.000313, 0.727739, 1.610499, 40
olafu, 1015156, CSR, 0.006067, 0.054319, 0.122182, 40
olafu, 1015156, HLL, 0.000208, 0.077695, 0.124643, 40
Cube_Coup_dt0, 127206144, CSR, 0.019920, 47.909996, 69.998769, 40
Cube_Coup_dt0, 127206144, HLL, 0.000493, 48.240900, 69.930599, 40
ML_Laplace, 27689972, CSR, 0.012438, 9.581322, 14.458703, 40
ML_Laplace, 27689972, HLL, 0.000367, 9.745902, 14.801287, 40
bcsstk17, 428650, CSR, 0.004957, 0.030917, 0.105520, 40
bcsstk17, 428650, HLL, 0.000286, 0.039818, 0.072919, 40
mac_econ_fwd500, 1273389, CSR, 0.009304, 0.069666, 0.229014, 40
mac_econ_fwd500, 1273389, HLL, 0.000635, 0.836275, 1.485196, 40
mhd4800a, 102252, CSR, 0.003496, 0.018769, 0.099227, 40
mhd4800a, 102252, HLL, 0.000216, 0.020529, 0.046681, 40
cop20k_A, 2624331, CSR, 0.011611, 0.231130, 0.823819, 40
cop20k_A, 2624331, HLL, 0.000331, 0.621601, 1.248239, 40
raefsky2, 294276, CSR, 0.003829, 0.024330, 0.077780, 40
raefsky2, 294276, HLL, 0.000220, 0.033440, 0.047925, 40
af23560, 484256, CSR, 0.005594, 0.033107, 0.113749, 40
af23560, 484256, HLL, 0.000200, 0.034186, 0.075509, 40
lung2, 492564, CSR, 0.007596, 0.042523, 0.150973, 40
lung2, 492564, HLL, 0.000269, 0.059429, 0.125769, 40
PR02R, 8185136, CSR, 0.011570, 2.310844, 3.744058, 40
PR02R, 8185136, HLL, 0.000324, 3.224407, 4.896022, 40
FEM_3D_thermal1, 430740, CSR, 0.005086, 0.030370, 0.116763, 40
FEM_3D_thermal1, 430740, HLL, 0.000207, 0.033980, 0.074623, 40
thermal1, 574458, CSR, 0.008051, 0.047230, 0.139895, 40
thermal1, 574458, HLL, 0.000164, 0.050882, 0.119877, 40
thermal2, 8580313, CSR, 0.017323, 3.719351, 4.992677, 40
thermal2, 8580313, HLL, 0.000314, 4.185576, 5.641953, 40
thermomech_TK, 711558, CSR, 0.007591, 0.065068, 0.159523, 40
thermomech_TK, 711558, HLL, 0.000251, 0.072722, 0.140225, 40
nlpkkt80, 28704672, CSR, 0.018151, 10.714521, 15.835157, 40
nlpkkt80, 28704672, HLL, 0.000380, 10.725392, 15.889802, 40
webbase-1M, 3105536, CSR, 0.017268, 0.852377, 2.070578, 40
webbase-1M, 3105536, HLL, 0.000539, 9.219959, 8.594942, 40
dc1, 766396, CSR, 0.006752, 0.187046, 0.308348, 40
dc1, 766396, HLL, 0.000330, 47.711955, 20.892655, 40
amazon0302, 1234877, CSR, 0.013119, 0.145878, 0.263788, 40
amazon0302, 1234877, HLL, 0.000215, 0.159842, 0.260799, 40
af_1_k101, 17550675, CSR, 0.014421, 6.142663, 9.169680, 40
af_1_k101, 17550675, HLL, 0.000328, 6.192609, 9.287310, 40
roadNet-PA, 3083796, CSR, 0.017097, 0.925603, 1.685103, 40
roadNet-PA, 3083796, HLL, 0.000208, 1.233073, 1.953401, 40
